"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"443","Advice for people living in or traveling to South Florida | Zika virus | CDC","50",10,"",""
"444","Advice for people living in or traveling to South Florida | Zika virus | CDC","41",8,"",""
"445","Advice for people living in or traveling to South Florida | Zika virus | CDC","54",7,"",""
"446","Advice for people living in or traveling to South Florida | Zika virus | CDC","86",6,"",""
"447","Advice for people living in or traveling to South Florida | Zika virus | CDC","66",6,"",""
"448","Advice for people living in or traveling to South Florida | Zika virus | CDC","65",6,"",""
"449","Advice for people living in or traveling to South Florida | Zika virus | CDC","61",6,"",""
"450","Advice for people living in or traveling to South Florida | Zika virus | CDC","131",5,"",""
"451","Advice for people living in or traveling to South Florida | Zika virus | CDC","94",5,"",""
"452","Advice for people living in or traveling to South Florida | Zika virus | CDC","56",5,"",""
"453","Advice for people living in or traveling to South Florida | Zika virus | CDC","120",4,"",""
"454","Advice for people living in or traveling to South Florida | Zika virus | CDC","99",4,"",""
"455","Advice for people living in or traveling to South Florida | Zika virus | CDC","204",3,"",""
"456","Advice for people living in or traveling to South Florida | Zika virus | CDC","129",3,"",""
"457","Advice for people living in or traveling to South Florida | Zika virus | CDC","97",3,"",""
"458","Advice for people living in or traveling to South Florida | Zika virus | CDC","83",3,"",""
"459","Advice for people living in or traveling to South Florida | Zika virus | CDC","81",3,"",""
"460","Advice for people living in or traveling to South Florida | Zika virus | CDC","128",2,"",""
"461","Advice for people living in or traveling to South Florida | Zika virus | CDC","116",2,"",""
"462","Advice for people living in or traveling to South Florida | Zika virus | CDC","114",2,"",""
"463","Advice for people living in or traveling to South Florida | Zika virus | CDC","92",2,"",""
"464","Advice for people living in or traveling to South Florida | Zika virus | CDC","78",2,"",""
"465","Advice for people living in or traveling to South Florida | Zika virus | CDC","77",2,"",""
"466","Advice for people living in or traveling to South Florida | Zika virus | CDC","60",2,"",""
"467","Advice for people living in or traveling to South Florida | Zika virus | CDC","58",2,"",""
"468","Advice for people living in or traveling to South Florida | Zika virus | CDC","1434",1,"",""
"469","Advice for people living in or traveling to South Florida | Zika virus | CDC","377",1,"",""
"470","Advice for people living in or traveling to South Florida | Zika virus | CDC","134",1,"",""
"471","Advice for people living in or traveling to South Florida | Zika virus | CDC","93",1,"",""
"472","Advice for people living in or traveling to South Florida | Zika virus | CDC","85",1,"",""
"473","Advice for people living in or traveling to South Florida | Zika virus | CDC","75",1,"",""
"474","Advice for people living in or traveling to South Florida | Zika virus | CDC","74",1,"",""
"475","Advice for people living in or traveling to South Florida | Zika virus | CDC","72",1,"",""
"476","Advice for people living in or traveling to South Florida | Zika virus | CDC","71",1,"",""
"477","Advice for people living in or traveling to South Florida | Zika virus | CDC","69",1,"",""
"478","Advice for people living in or traveling to South Florida | Zika virus | CDC","67",1,"",""
"479","Advice for people living in or traveling to South Florida | Zika virus | CDC","63",1,"",""
"480","Advice for people living in or traveling to South Florida | Zika virus | CDC","62",1,"",""
"481","Advice for people living in or traveling to South Florida | Zika virus | CDC","59",1,"",""
"482","Maps of Zika in the United States | Zika virus | CDC","1",57187,"",""
"483","Maps of Zika in the United States | Zika virus | CDC","2",11876,"",""
"484","Maps of Zika in the United States | Zika virus | CDC","3",8237,"",""
"485","Maps of Zika in the United States | Zika virus | CDC","4",7184,"",""
"486","Maps of Zika in the United States | Zika virus | CDC","5",6795,"",""
"487","Maps of Zika in the United States | Zika virus | CDC","6",5462,"",""
"488","Maps of Zika in the United States | Zika virus | CDC","7",5044,"",""
"489","Maps of Zika in the United States | Zika virus | CDC","8",3958,"",""
"490","Maps of Zika in the United States | Zika virus | CDC","9",3621,"",""
"491","Maps of Zika in the United States | Zika virus | CDC","10",2818,"",""
"492","Maps of Zika in the United States | Zika virus | CDC","11",2419,"",""
"493","Maps of Zika in the United States | Zika virus | CDC","12",1951,"",""
"494","Maps of Zika in the United States | Zika virus | CDC","13",1689,"",""
"495","Maps of Zika in the United States | Zika virus | CDC","14",1307,"",""
"496","Maps of Zika in the United States | Zika virus | CDC","15",1222,"",""
"497","Maps of Zika in the United States | Zika virus | CDC","16",1040,"",""
"498","Maps of Zika in the United States | Zika virus | CDC","17",884,"",""
"499","Maps of Zika in the United States | Zika virus | CDC","18",703,"",""
"500","Maps of Zika in the United States | Zika virus | CDC","19",620,"",""
"501","Maps of Zika in the United States | Zika virus | CDC","20",527,"",""
"502","Maps of Zika in the United States | Zika virus | CDC","21",483,"",""
"503","Maps of Zika in the United States | Zika virus | CDC","23",369,"",""
"504","Maps of Zika in the United States | Zika virus | CDC","22",332,"",""
"505","Maps of Zika in the United States | Zika virus | CDC","24",298,"",""
"506","Maps of Zika in the United States | Zika virus | CDC","25",274,"",""
"507","Maps of Zika in the United States | Zika virus | CDC","26",222,"",""
"508","Maps of Zika in the United States | Zika virus | CDC","27",202,"",""
"509","Maps of Zika in the United States | Zika virus | CDC","28",166,"",""
"510","Maps of Zika in the United States | Zika virus | CDC","30",126,"",""
"511","Maps of Zika in the United States | Zika virus | CDC","29",120,"",""
"512","Maps of Zika in the United States | Zika virus | CDC","31",91,"",""
"513","Maps of Zika in the United States | Zika virus | CDC","35",87,"",""
"514","Maps of Zika in the United States | Zika virus | CDC","34",82,"",""
"515","Maps of Zika in the United States | Zika virus | CDC","32",82,"",""
"516","Maps of Zika in the United States | Zika virus | CDC","33",80,"",""
"517","Maps of Zika in the United States | Zika virus | CDC","37",68,"",""
"518","Maps of Zika in the United States | Zika virus | CDC","36",54,"",""
"519","Maps of Zika in the United States | Zika virus | CDC","38",52,"",""
"520","Maps of Zika in the United States | Zika virus | CDC","41",40,"",""
"521","Maps of Zika in the United States | Zika virus | CDC","39",40,"",""
"522","Maps of Zika in the United States | Zika virus | CDC","44",38,"",""
"523","Maps of Zika in the United States | Zika virus | CDC","47",31,"",""
"524","Maps of Zika in the United States | Zika virus | CDC","43",29,"",""
"525","Maps of Zika in the United States | Zika virus | CDC","42",28,"",""
"526","Maps of Zika in the United States | Zika virus | CDC","40",28,"",""
"527","Maps of Zika in the United States | Zika virus | CDC","45",25,"",""
"528","Maps of Zika in the United States | Zika virus | CDC","52",20,"",""
"529","Maps of Zika in the United States | Zika virus | CDC","67",17,"",""
"530","Maps of Zika in the United States | Zika virus | CDC","49",16,"",""
"531","Maps of Zika in the United States | Zika virus | CDC","53",15,"",""
"532","Maps of Zika in the United States | Zika virus | CDC","50",14,"",""
"533","Maps of Zika in the United States | Zika virus | CDC","55",13,"",""
"534","Maps of Zika in the United States | Zika virus | CDC","46",13,"",""
"535","Maps of Zika in the United States | Zika virus | CDC","59",12,"",""
"536","Maps of Zika in the United States | Zika virus | CDC","48",12,"",""
"537","Maps of Zika in the United States | Zika virus | CDC","66",11,"",""
"538","Maps of Zika in the United States | Zika virus | CDC","131",10,"",""
"539","Maps of Zika in the United States | Zika virus | CDC","70",8,"",""
"540","Maps of Zika in the United States | Zika virus | CDC","60",8,"",""
"541","Maps of Zika in the United States | Zika virus | CDC","51",8,"",""
"542","Maps of Zika in the United States | Zika virus | CDC","82",7,"",""
"543","Maps of Zika in the United States | Zika virus | CDC","61",6,"",""
"544","Maps of Zika in the United States | Zika virus | CDC","57",5,"",""
"545","Maps of Zika in the United States | Zika virus | CDC","56",5,"",""
"546","Maps of Zika in the United States | Zika virus | CDC","85",4,"",""
"547","Maps of Zika in the United States | Zika virus | CDC","76",4,"",""
"548","Maps of Zika in the United States | Zika virus | CDC","69",4,"",""
"549","Maps of Zika in the United States | Zika virus | CDC","134",3,"",""
"550","Maps of Zika in the United States | Zika virus | CDC","110",3,"",""
"551","Maps of Zika in the United States | Zika virus | CDC","93",3,"",""
"552","Maps of Zika in the United States | Zika virus | CDC","92",3,"",""
"553","Maps of Zika in the United States | Zika virus | CDC","86",3,"",""
"554","Maps of Zika in the United States | Zika virus | CDC","58",3,"",""
"555","Maps of Zika in the United States | Zika virus | CDC","54",3,"",""
"556","Maps of Zika in the United States | Zika virus | CDC","123",2,"",""
"557","Maps of Zika in the United States | Zika virus | CDC","100",2,"",""
"558","Maps of Zika in the United States | Zika virus | CDC","83",2,"",""
"559","Maps of Zika in the United States | Zika virus | CDC","73",2,"",""
"560","Maps of Zika in the United States | Zika virus | CDC","65",2,"",""
"561","Maps of Zika in the United States | Zika virus | CDC","62",2,"",""
"562","Maps of Zika in the United States | Zika virus | CDC","1434",1,"",""
"563","Maps of Zika in the United States | Zika virus | CDC","158",1,"",""
"564","Maps of Zika in the United States | Zika virus | CDC","129",1,"",""
"565","Maps of Zika in the United States | Zika virus | CDC","112",1,"",""
"566","Maps of Zika in the United States | Zika virus | CDC","111",1,"",""
"567","Maps of Zika in the United States | Zika virus | CDC","109",1,"",""
"568","Maps of Zika in the United States | Zika virus | CDC","107",1,"",""
"569","Maps of Zika in the United States | Zika virus | CDC","106",1,"",""
"570","Maps of Zika in the United States | Zika virus | CDC","105",1,"",""
"571","Maps of Zika in the United States | Zika virus | CDC","103",1,"",""
"572","Maps of Zika in the United States | Zika virus | CDC","96",1,"",""
"573","Maps of Zika in the United States | Zika virus | CDC","79",1,"",""
"574","Maps of Zika in the United States | Zika virus | CDC","78",1,"",""
"575","Maps of Zika in the United States | Zika virus | CDC","77",1,"",""
"576","Maps of Zika in the United States | Zika virus | CDC","64",1,"",""
"577","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","1",40379,"",""
"578","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","2",15759,"",""
"579","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","3",8163,"",""
"580","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","4",5089,"",""
"581","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","5",4096,"",""
"582","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","6",3289,"",""
"583","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","7",2902,"",""
"584","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","8",2273,"",""
"585","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","9",2055,"",""
"586","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","10",1561,"",""
"587","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","11",1424,"",""
"588","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","12",1151,"",""
"589","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","13",988,"",""
"590","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","14",820,"",""
"591","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","15",682,"",""
"592","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","16",527,"",""
"593","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","17",493,"",""
"594","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","18",352,"",""
"595","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","19",320,"",""
"596","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","21",280,"",""
"597","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","20",250,"",""
"598","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","23",215,"",""
"599","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","22",205,"",""
"600","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","24",168,"",""
"601","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","27",132,"",""
"602","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","26",113,"",""
"603","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","25",111,"",""
"604","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","29",81,"",""
"605","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","28",65,"",""
"606","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","32",55,"",""
"607","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","31",49,"",""
"608","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","30",48,"",""
"609","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","37",37,"",""
"610","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","35",34,"",""
"611","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","34",34,"",""
"612","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","36",33,"",""
"613","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","39",32,"",""
"614","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","40",31,"",""
"615","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","33",30,"",""
"616","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","46",29,"",""
