"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"346","Areas with Zika | Zika virus | CDC","Fribourg (Switzerland)",40,"",""
"347","Areas with Zika | Zika virus | CDC","Northumberland (United Kingdom)",40,"",""
"348","Areas with Zika | Zika virus | CDC","Durham (United Kingdom)",39,"",""
"349","Areas with Zika | Zika virus | CDC","Belize (Belize)",39,"",""
"350","Areas with Zika | Zika virus | CDC","Windsor and Maidenhead (United Kingdom)",39,"",""
"351","Areas with Zika | Zika virus | CDC","Sint Maarten (Sint Maarten)",39,"",""
"352","Areas with Zika | Zika virus | CDC","Pichincha (Ecuador)",39,"",""
"353","Areas with Zika | Zika virus | CDC","Rochdale (United Kingdom)",39,"",""
"354","Areas with Zika | Zika virus | CDC","Luton (United Kingdom)",38,"",""
"355","Areas with Zika | Zika virus | CDC","Doncaster (United Kingdom)",38,"",""
"356","Areas with Zika | Zika virus | CDC","Sonora (Mexico)",38,"",""
"357","Areas with Zika | Zika virus | CDC","Jawa Timur (Indonesia)",37,"",""
"358","Areas with Zika | Zika virus | CDC","Rhondda (United Kingdom)",37,"",""
"359","Areas with Zika | Zika virus | CDC","Caerphilly (United Kingdom)",37,"",""
"360","Areas with Zika | Zika virus | CDC","Ostergotlands Lan (Sweden)",37,"",""
"361","Areas with Zika | Zika virus | CDC","Solothurn (Switzerland)",36,"",""
"362","Areas with Zika | Zika virus | CDC","Makkah (Saudi Arabia)",36,"",""
"363","Areas with Zika | Zika virus | CDC","North Tyneside (United Kingdom)",36,"",""
"364","Areas with Zika | Zika virus | CDC","Karnataka (India)",36,"",""
"365","Areas with Zika | Zika virus | CDC","Ankara (Turkey)",36,"",""
"366","Areas with Zika | Zika virus | CDC","Flevoland (Netherlands)",36,"",""
"367","Areas with Zika | Zika virus | CDC","West Berkshire (United Kingdom)",35,"",""
"368","Areas with Zika | Zika virus | CDC","Grad Zagreb (Croatia)",35,"",""
"369","Areas with Zika | Zika virus | CDC","Overijssel (Netherlands)",35,"",""
"370","Areas with Zika | Zika virus | CDC","Wielkopolskie (Poland)",35,"",""
"371","Areas with Zika | Zika virus | CDC","Minas Gerais (Brazil)",35,"",""
"372","Areas with Zika | Zika virus | CDC","Swansea (United Kingdom)",35,"",""
"373","Areas with Zika | Zika virus | CDC","Saint George (Saint Vincent and The Grenadines)",35,"",""
"374","Areas with Zika | Zika virus | CDC","Torbay (United Kingdom)",35,"",""
"375","Areas with Zika | Zika virus | CDC","Phaket (Thailand)",34,"",""
"376","Areas with Zika | Zika virus | CDC","Luanda (Angola)",34,"",""
"377","Areas with Zika | Zika virus | CDC","West Lothian (United Kingdom)",34,"",""
"378","Areas with Zika | Zika virus | CDC","Nord-Pas-De-Calais (France)",34,"",""
"379","Areas with Zika | Zika virus | CDC","Parana (Brazil)",34,"",""
"380","Areas with Zika | Zika virus | CDC","Sindh - South (Pakistan)",34,"",""
"381","Areas with Zika | Zika virus | CDC","Yucatan (Mexico)",34,"",""
"382","Areas with Zika | Zika virus | CDC","Steiermark (Austria)",34,"",""
"383","Areas with Zika | Zika virus | CDC","Sor-Trondelag (Norway)",34,"",""
"384","Areas with Zika | Zika virus | CDC","Chiang Mai (Thailand)",33,"",""
"385","Areas with Zika | Zika virus | CDC","Port of Spain (Trinidad and Tobago)",33,"",""
"386","Areas with Zika | Zika virus | CDC","Wokingham (United Kingdom)",33,"",""
"387","Areas with Zika | Zika virus | CDC","North Lanarkshire (United Kingdom)",33,"",""
"388","Areas with Zika | Zika virus | CDC","Shanghai (China)",33,"",""
"389","Areas with Zika | Zika virus | CDC","Tehran (Iran (Islamic Republic of))",32,"",""
"390","Areas with Zika | Zika virus | CDC","Wrexham (United Kingdom)",32,"",""
"391","Areas with Zika | Zika virus | CDC","Castries (Saint Lucia)",32,"",""
"392","Areas with Zika | Zika virus | CDC","Ticino (Switzerland)",32,"",""
"393","Areas with Zika | Zika virus | CDC","Lisburn (United Kingdom)",32,"",""
"394","Areas with Zika | Zika virus | CDC","Managua (Nicaragua)",32,"",""
"395","Areas with Zika | Zika virus | CDC","Port Louis City (Mauritius)",32,"",""
"396","Areas with Zika | Zika virus | CDC","Firenze (Italy)",32,"",""
"397","Areas with Zika | Zika virus | CDC","Osaka (Japan)",31,"",""
"398","Areas with Zika | Zika virus | CDC","Lefkosia (Cyprus)",31,"",""
"399","Areas with Zika | Zika virus | CDC","Wicklow (Ireland)",31,"",""
"400","Areas with Zika | Zika virus | CDC","Puebla (Mexico)",31,"",""
"401","Areas with Zika | Zika virus | CDC","Gujarat (India)",31,"",""
"402","Areas with Zika | Zika virus | CDC","Carmarthenshire (United Kingdom)",31,"",""
"403","Areas with Zika | Zika virus | CDC","Otago (New Zealand)",30,"",""
"404","Areas with Zika | Zika virus | CDC","West Bengal (India)",30,"",""
"405","Areas with Zika | Zika virus | CDC","Greater Accra (Ghana)",30,"",""
"406","Areas with Zika | Zika virus | CDC","Solihull (United Kingdom)",30,"",""
"407","Areas with Zika | Zika virus | CDC","Tirol (Austria)",30,"",""
"408","Areas with Zika | Zika virus | CDC","Santa Catarina (Brazil)",30,"",""
"409","Areas with Zika | Zika virus | CDC","Mandalay (Myanmar)",30,"",""
"410","Areas with Zika | Zika virus | CDC","Stockton-On-Tees (United Kingdom)",29,"",""
"411","Areas with Zika | Zika virus | CDC","Beijing (China)",29,"",""
"412","Areas with Zika | Zika virus | CDC","Telangana (India)",29,"",""
"413","Areas with Zika | Zika virus | CDC","Hefa (Israel)",28,"",""
"414","Areas with Zika | Zika virus | CDC","Manawatu-Wanganui (New Zealand)",28,"",""
"415","Areas with Zika | Zika virus | CDC","Malaga (Spain)",28,"",""
"416","Areas with Zika | Zika virus | CDC","Okinawa (Japan)",28,"",""
"417","Areas with Zika | Zika virus | CDC","Antioquia (Colombia)",28,"",""
"418","Areas with Zika | Zika virus | CDC","St. Helens (United Kingdom)",28,"",""
"419","Areas with Zika | Zika virus | CDC","Bremen (Germany)",28,"",""
"420","Areas with Zika | Zika virus | CDC","Islas Baleares (Spain)",28,"",""
"421","Areas with Zika | Zika virus | CDC","Vale of Glamorgan (United Kingdom)",28,"",""
"422","Areas with Zika | Zika virus | CDC","Barnsley (United Kingdom)",28,"",""
"423","Areas with Zika | Zika virus | CDC","Colima (Mexico)",28,"",""
"424","Areas with Zika | Zika virus | CDC","Moravskoslezsky Kraj (Czech Republic)",28,"",""
"425","Areas with Zika | Zika virus | CDC","Malopolskie (Poland)",27,"",""
"426","Areas with Zika | Zika virus | CDC","Torino (Italy)",27,"",""
"427","Areas with Zika | Zika virus | CDC","Alsace (France)",27,"",""
"428","Areas with Zika | Zika virus | CDC","Buskerud (Norway)",27,"",""
"429","Areas with Zika | Zika virus | CDC","More Og Romsdal (Norway)",27,"",""
"430","Areas with Zika | Zika virus | CDC","Gibraltar (Gibraltar)",27,"",""
"431","Areas with Zika | Zika virus | CDC","Cluj (Romania)",27,"",""
"432","Areas with Zika | Zika virus | CDC","Languedoc-Roussillon (France)",27,"",""
"433","Areas with Zika | Zika virus | CDC","Kedah (Malaysia)",27,"",""
"434","Areas with Zika | Zika virus | CDC","Hallands Lan (Sweden)",27,"",""
"435","Areas with Zika | Zika virus | CDC","Punjab (Pakistan)",27,"",""
"436","Areas with Zika | Zika virus | CDC","Pest (Hungary)",27,"",""
"437","Areas with Zika | Zika virus | CDC","Yerushalayim Al Quds (Israel)",27,"",""
"438","Areas with Zika | Zika virus | CDC","Saint Kitts (Saint Kitts and Nevis)",27,"",""
"439","Areas with Zika | Zika virus | CDC","Ash Sharqlyah (Saudi Arabia)",26,"",""
"440","Areas with Zika | Zika virus | CDC","Schwyz (Switzerland)",26,"",""
"441","Areas with Zika | Zika virus | CDC","Ostfold (Norway)",26,"",""
"442","Areas with Zika | Zika virus | CDC","Limerick (Ireland)",26,"",""
"443","Areas with Zika | Zika virus | CDC","Misamis Oriental (Philippines)",26,"",""
"444","Areas with Zika | Zika virus | CDC","Masqat (Oman)",26,"",""
"445","Areas with Zika | Zika virus | CDC","Belgrade (Serbia)",26,"",""
"446","Areas with Zika | Zika virus | CDC","Thurrock (United Kingdom)",25,"",""
"447","Areas with Zika | Zika virus | CDC","Isle of Man (Isle of Man)",25,"",""
"448","Areas with Zika | Zika virus | CDC","Samut Prakan (Thailand)",25,"",""
"449","Areas with Zika | Zika virus | CDC","Falkirk (United Kingdom)",25,"",""
"450","Areas with Zika | Zika virus | CDC","Sefton (United Kingdom)",25,"",""
"451","Areas with Zika | Zika virus | CDC","Al Manamah (Bahrain)",25,"",""
"452","Areas with Zika | Zika virus | CDC","Nordjylland (Denmark)",25,"",""
"453","Areas with Zika | Zika virus | CDC","Tamaulipas (Mexico)",25,"",""
"454","Areas with Zika | Zika virus | CDC","Blackpool (United Kingdom)",25,"",""
"455","Areas with Zika | Zika virus | CDC","Midi-Pyrenees (France)",25,"",""
"456","Areas with Zika | Zika virus | CDC","Guernsey (Guernsey)",24,"",""
"457","Areas with Zika | Zika virus | CDC","Uttar Pradesh (India)",24,"",""
"458","Areas with Zika | Zika virus | CDC","Vest-Agder (Norway)",24,"",""
"459","Areas with Zika | Zika virus | CDC","South Tyneside (United Kingdom)",24,"",""
"460","Areas with Zika | Zika virus | CDC","Pembrokeshire (United Kingdom)",24,"",""
"461","Areas with Zika | Zika virus | CDC","Oaxaca (Mexico)",24,"",""
"462","Areas with Zika | Zika virus | CDC","Thuringen (Germany)",24,"",""
"463","Areas with Zika | Zika virus | CDC","Kwazulu-Natal (South Africa)",24,"",""
"464","Areas with Zika | Zika virus | CDC","Valencia (Spain)",24,"",""
"465","Areas with Zika | Zika virus | CDC","Dundee City (United Kingdom)",24,"",""
"466","Areas with Zika | Zika virus | CDC","Bagmati (Nepal)",24,"",""
"467","Areas with Zika | Zika virus | CDC","Pulau Pinang (Malaysia)",23,"",""
"468","Areas with Zika | Zika virus | CDC","French Polynesia (French Polynesia)",23,"",""
"469","Areas with Zika | Zika virus | CDC","Anguilla (Anguilla)",23,"",""
"470","Areas with Zika | Zika virus | CDC","Thurgau (Switzerland)",23,"",""
"471","Areas with Zika | Zika virus | CDC","Pomorskie (Poland)",23,"",""
"472","Areas with Zika | Zika virus | CDC","Orebro Lan (Sweden)",23,"",""
"473","Areas with Zika | Zika virus | CDC","Guayas (Ecuador)",23,"",""
"474","Areas with Zika | Zika virus | CDC","Oldham (United Kingdom)",23,"",""
"475","Areas with Zika | Zika virus | CDC","Padova (Italy)",23,"",""
"476","Areas with Zika | Zika virus | CDC","Brandenburg (Germany)",22,"",""
"477","Areas with Zika | Zika virus | CDC","Nueva Ecija (Philippines)",22,"",""
"478","Areas with Zika | Zika virus | CDC","Timis (Romania)",22,"",""
"479","Areas with Zika | Zika virus | CDC","Bury (United Kingdom)",22,"",""
"480","Areas with Zika | Zika virus | CDC","Taichung City (Taiwan)",22,"",""
"481","Areas with Zika | Zika virus | CDC","Central (Fiji)",22,"",""
"482","Areas with Zika | Zika virus | CDC","Nonthaburi (Thailand)",22,"",""
"483","Areas with Zika | Zika virus | CDC","Telford and Wrekin (United Kingdom)",22,"",""
"484","Areas with Zika | Zika virus | CDC","Cordoba (Argentina)",22,"",""
"485","Areas with Zika | Zika virus | CDC","Bonaire (Bonaire/Sint Eustatius/Saba)",22,"",""
"486","Areas with Zika | Zika virus | CDC","Kalmar Lan (Sweden)",21,"",""
"487","Areas with Zika | Zika virus | CDC","Sliema (Malta)",21,"",""
"488","Areas with Zika | Zika virus | CDC","Wirral (United Kingdom)",21,"",""
"489","Areas with Zika | Zika virus | CDC","Macau (Macau)",21,"",""
"490","Areas with Zika | Zika virus | CDC","Napoli (Italy)",21,"",""
"491","Areas with Zika | Zika virus | CDC","Halton (United Kingdom)",21,"",""
"492","Areas with Zika | Zika virus | CDC","Guangdong (China)",21,"",""
"493","Areas with Zika | Zika virus | CDC","Saint Martin (Saint Martin)",21,"",""
"494","Areas with Zika | Zika virus | CDC","South Lanarkshire (United Kingdom)",21,"",""
"495","Areas with Zika | Zika virus | CDC","Hazafon (Israel)",21,"",""
"496","Areas with Zika | Zika virus | CDC","Isle of Wight (United Kingdom)",21,"",""
"497","Areas with Zika | Zika virus | CDC","Perth and Kinross (United Kingdom)",21,"",""
"498","Areas with Zika | Zika virus | CDC","Gateshead (United Kingdom)",21,"",""
"499","Areas with Zika | Zika virus | CDC","Hokkaido (Japan)",21,"",""
"500","Areas with Zika | Zika virus | CDC","Baja California (Mexico)",21,"",""
"501","Areas with Zika | Zika virus | CDC","Calderdale (United Kingdom)",21,"",""
"502","Areas with Zika | Zika virus | CDC","Renfrewshire (United Kingdom)",21,"",""
"503","Areas with Zika | Zika virus | CDC","Chongqing (China)",21,"",""
"504","Areas with Zika | Zika virus | CDC","Mexico (Mexico)",20,"",""
"505","Areas with Zika | Zika virus | CDC","Heredia (Costa Rica)",20,"",""
"506","Areas with Zika | Zika virus | CDC","Brunei Muara (Brunei Darussalam)",20,"",""
"507","Areas with Zika | Zika virus | CDC","Bridgend (United Kingdom)",20,"",""
"508","Areas with Zika | Zika virus | CDC","East Ayrshire (United Kingdom)",20,"",""
"509","Areas with Zika | Zika virus | CDC","Quezon (Philippines)",20,"",""
"510","Areas with Zika | Zika virus | CDC","Aquitaine (France)",20,"",""
"511","Areas with Zika | Zika virus | CDC","North Lincolnshire (United Kingdom)",20,"",""
"512","Areas with Zika | Zika virus | CDC","Varmlands Lan (Sweden)",20,"",""
"513","Areas with Zika | Zika virus | CDC","Ouest (Haiti)",19,"",""
"514","Areas with Zika | Zika virus | CDC","Saint James (Jamaica)",19,"",""
"515","Areas with Zika | Zika virus | CDC","Vasternorrlands Lan (Sweden)",19,"",""
"516","Areas with Zika | Zika virus | CDC","Pays De La Loire (France)",19,"",""
"517","Areas with Zika | Zika virus | CDC","Madhya Pradesh (India)",19,"",""
"518","Areas with Zika | Zika virus | CDC","Sevilla (Spain)",19,"",""
"519","Areas with Zika | Zika virus | CDC","Haryana (India)",19,"",""
"520","Areas with Zika | Zika virus | CDC","Vastmanlands Lan (Sweden)",19,"",""
"521","Areas with Zika | Zika virus | CDC","Jawa Barat (Indonesia)",19,"",""
"522","Areas with Zika | Zika virus | CDC","Newport (United Kingdom)",19,"",""
"523","Areas with Zika | Zika virus | CDC","Moray (United Kingdom)",18,"",""
"524","Areas with Zika | Zika virus | CDC","Valais (Switzerland)",18,"",""
"525","Areas with Zika | Zika virus | CDC","Kerala (India)",18,"",""
"526","Areas with Zika | Zika virus | CDC","Lusaka (Zambia)",18,"",""
"527","Areas with Zika | Zika virus | CDC","Taoyuan County (Taiwan)",18,"",""
"528","Areas with Zika | Zika virus | CDC","Lemesos (Cyprus)",18,"",""
"529","Areas with Zika | Zika virus | CDC","Guadeloupe (Guadeloupe)",18,"",""
"530","Areas with Zika | Zika virus | CDC","Bahia (Brazil)",18,"",""
"531","Areas with Zika | Zika virus | CDC","Perak (Malaysia)",18,"",""
"532","Areas with Zika | Zika virus | CDC","Bologna (Italy)",17,"",""
"533","Areas with Zika | Zika virus | CDC","Eastern Cape (South Africa)",17,"",""
"534","Areas with Zika | Zika virus | CDC","Pampanga (Philippines)",17,"",""
"535","Areas with Zika | Zika virus | CDC","Sachsen-Anhalt (Germany)",17,"",""
"536","Areas with Zika | Zika virus | CDC","Saint George (Grenada)",17,"",""
"537","Areas with Zika | Zika virus | CDC","Flintshire (United Kingdom)",17,"",""
"538","Areas with Zika | Zika virus | CDC","Addis Ababa (Ethiopia)",17,"",""
"539","Areas with Zika | Zika virus | CDC","Vestfold (Norway)",17,"",""
"540","Areas with Zika | Zika virus | CDC","Goa (India)",17,"",""
"541","Areas with Zika | Zika virus | CDC","Tartumaa (Estonia)",16,"",""
"542","Areas with Zika | Zika virus | CDC","Guerrero (Mexico)",16,"",""
"543","Areas with Zika | Zika virus | CDC","Telemark (Norway)",16,"",""
"544","Areas with Zika | Zika virus | CDC","Northern Territory (Australia)",16,"",""
"545","Areas with Zika | Zika virus | CDC","Ostrobothnia (Finland)",16,"",""
"546","Areas with Zika | Zika virus | CDC","Craigavon (United Kingdom)",16,"",""
"547","Areas with Zika | Zika virus | CDC","Gwynedd (United Kingdom)",16,"",""
"548","Areas with Zika | Zika virus | CDC","Stredocesky Kraj (Czech Republic)",16,"",""
"549","Areas with Zika | Zika virus | CDC","Darlington (United Kingdom)",16,"",""
"550","Areas with Zika | Zika virus | CDC","Herefordshire (United Kingdom)",16,"",""
"551","Areas with Zika | Zika virus | CDC","Las Palmas (Spain)",16,"",""
"552","Areas with Zika | Zika virus | CDC","Salzburg (Austria)",16,"",""
"553","Areas with Zika | Zika virus | CDC","Mendoza (Argentina)",16,"",""
"554","Areas with Zika | Zika virus | CDC","Trnavsky Kraj (Slovakia (Slovak Republic))",16,"",""
"555","Areas with Zika | Zika virus | CDC","Jonkopings Lan (Sweden)",15,"",""
"556","Areas with Zika | Zika virus | CDC","Santa Fe (Argentina)",15,"",""
"557","Areas with Zika | Zika virus | CDC","Ulaanbaatar (Mongolia)",15,"",""
"558","Areas with Zika | Zika virus | CDC","Kauno (Lithuania)",15,"",""
"559","Areas with Zika | Zika virus | CDC","Jiangsu (China)",15,"",""
"560","Areas with Zika | Zika virus | CDC","Carlow (Ireland)",15,"",""
"561","Areas with Zika | Zika virus | CDC","Westmeath (Ireland)",15,"",""
"562","Areas with Zika | Zika virus | CDC","Northern Ostrobothnia (Finland)",15,"",""
"563","Areas with Zika | Zika virus | CDC","Guanacaste (Costa Rica)",15,"",""
"564","Areas with Zika | Zika virus | CDC","Hsinchu City (Taiwan)",15,"",""
"565","Areas with Zika | Zika virus | CDC","Angus (United Kingdom)",15,"",""
"566","Areas with Zika | Zika virus | CDC","Highland (United Kingdom)",15,"",""
"567","Areas with Zika | Zika virus | CDC","British Virgin Islands (British Virgin Islands)",14,"",""
"568","Areas with Zika | Zika virus | CDC","Kosicky Kraj (Slovakia (Slovak Republic))",14,"",""
"569","Areas with Zika | Zika virus | CDC","Blekinge Lan (Sweden)",14,"",""
"570","Areas with Zika | Zika virus | CDC","Johor (Malaysia)",14,"",""
"571","Areas with Zika | Zika virus | CDC","Da Nang (Viet Nam)",14,"",""
"572","Areas with Zika | Zika virus | CDC","Hainaut (Belgium)",14,"",""
"573","Areas with Zika | Zika virus | CDC","Aberdeenshire (United Kingdom)",14,"",""
