"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"300","Areas with Zika | Zika virus | CDC","Samsung Galaxy J7 (SM-J700P)",19,"",""
"301","Areas with Zika | Zika virus | CDC","AT&T Galaxy Note Edge (SM-N915A)",19,"",""
"302","Areas with Zika | Zika virus | CDC","LG Stylus 2 (K540)",19,"",""
"303","Areas with Zika | Zika virus | CDC","Amazon Kindle Fire HD 8.9",19,"",""
"304","Areas with Zika | Zika virus | CDC","Tesco Hudl 2",19,"",""
"305","Areas with Zika | Zika virus | CDC","Verizon Galaxy Tab S2 (SM-T817V)",19,"",""
"306","Areas with Zika | Zika virus | CDC","T-Mobile Stylus 2 Plus (K550)",19,"",""
"307","Areas with Zika | Zika virus | CDC","Sony Xperia XA (F3111)",19,"",""
"308","Areas with Zika | Zika virus | CDC","Sony Xperia Z5 Premium (E6853)",19,"",""
"309","Areas with Zika | Zika virus | CDC","Sony Xperia Z3+ (E6553)",19,"",""
"310","Areas with Zika | Zika virus | CDC","OnePlus One (E1005)",19,"",""
"311","Areas with Zika | Zika virus | CDC","Amazon Kindle Fire HDX 8.9",19,"",""
"312","Areas with Zika | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360F)",19,"",""
"313","Areas with Zika | Zika virus | CDC","LG V20 (LS997)",19,"",""
"314","Areas with Zika | Zika virus | CDC","Motorola Moto G 2nd Gen (XT1068)",19,"",""
"315","Areas with Zika | Zika virus | CDC","Samsung Galaxy Ace Style (SM-G357FZ)",19,"",""
"316","Areas with Zika | Zika virus | CDC","LG G4 (US991)",19,"",""
"317","Areas with Zika | Zika virus | CDC","Verizon G Pad 8.3 (VK810)",18,"",""
"318","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab A (SM-T280)",18,"",""
"319","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note (GT-N8010)",18,"",""
"320","Areas with Zika | Zika virus | CDC","HTC Desire 526",18,"",""
"321","Areas with Zika | Zika virus | CDC","Asus Zenfone 2E",18,"",""
"322","Areas with Zika | Zika virus | CDC","LG Tribute 5 (LS675)",18,"",""
"323","Areas with Zika | Zika virus | CDC","Xiaomi Mi 5",18,"",""
"324","Areas with Zika | Zika virus | CDC","Huawei Honor 8 (FRD-L04)",18,"",""
"325","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S LTE (SM-T705)",17,"",""
"326","Areas with Zika | Zika virus | CDC","Blu R1 HD",17,"",""
"327","Areas with Zika | Zika virus | CDC","HTC One M8s",17,"",""
"328","Areas with Zika | Zika virus | CDC","Samsung Galaxy J1 (SM-J120A)",17,"",""
"329","Areas with Zika | Zika virus | CDC","Asus ZenFone 2 Laser (ZE551KL (Z00TD))",17,"",""
"330","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Value Edition (GT-I9515)",17,"",""
"331","Areas with Zika | Zika virus | CDC","Xiaomi Mi 4c",17,"",""
"332","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 7.0 (SM-T230)",17,"",""
"333","Areas with Zika | Zika virus | CDC","Samsung Galaxy J5 (SM-J500F)",16,"",""
"334","Areas with Zika | Zika virus | CDC","Barnes and Noble Nook HD+ (BNTV600)",16,"",""
"335","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 3 Lite 7.0 WiFi (SM-T110)",16,"",""
"336","Areas with Zika | Zika virus | CDC","Amazon Fire HD 8 (2015)",16,"",""
"337","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928I)",16,"",""
"338","Areas with Zika | Zika virus | CDC","Sony Xperia M4 Aqua (E2306)",16,"",""
"339","Areas with Zika | Zika virus | CDC","Motorola Moto G 4G (XT1039)",16,"",""
"340","Areas with Zika | Zika virus | CDC","AT&T Galaxy Alpha (SM-G850A)",16,"",""
"341","Areas with Zika | Zika virus | CDC","Samsung Galaxy J7 (SM-J700M)",16,"",""
"342","Areas with Zika | Zika virus | CDC","Sprint G2 (LS980)",16,"",""
"343","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-S920L)",16,"",""
"344","Areas with Zika | Zika virus | CDC","Verizon Xperia Z3v (D6708)",16,"",""
"345","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531F)",16,"",""
"346","Areas with Zika | Zika virus | CDC","Sprint X Power (LS755)",15,"",""
"347","Areas with Zika | Zika virus | CDC","Straight Talk Glaxy S6 (SM-S906L)",15,"",""
"348","Areas with Zika | Zika virus | CDC","Nokia Lumia 920 (RM-821)",15,"",""
"349","Areas with Zika | Zika virus | CDC","LeEco Le Pro3 (LEX727)",15,"",""
"350","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T3)",15,"",""
"351","Areas with Zika | Zika virus | CDC","Infinix Hot Note (X551)",15,"",""
"352","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531H)",15,"",""
"353","Areas with Zika | Zika virus | CDC","LG G5 (H850)",15,"",""
"354","Areas with Zika | Zika virus | CDC","Huawei Ascend G7 (G7-L01)",15,"",""
"355","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 mini (GT-I8190N)",15,"",""
"356","Areas with Zika | Zika virus | CDC","Motorola Moto E 2nd Gen 4G (XT1528)",14,"",""
"357","Areas with Zika | Zika virus | CDC","LG G2 (D800)",14,"",""
"358","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 (SM-A500F)",14,"",""
"359","Areas with Zika | Zika virus | CDC","Cricket Galaxy S6 (SM-G920AZ)",14,"",""
"360","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900M)",14,"",""
"361","Areas with Zika | Zika virus | CDC","Asus MeMO Pad HD7 (ME173X (K00U))",14,"",""
"362","Areas with Zika | Zika virus | CDC","ZTE Warp Elite (N9518)",14,"",""
"363","Areas with Zika | Zika virus | CDC","Verizon Desire 626",14,"",""
"364","Areas with Zika | Zika virus | CDC","Sony Xperia M4 Aqua (E2303)",14,"",""
"365","Areas with Zika | Zika virus | CDC","TracFone Rebel LTE (L44VL)",14,"",""
"366","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 mini (SM-G800H)",14,"",""
"367","Areas with Zika | Zika virus | CDC","AT&T Galaxy S3 (SGH-I747)",14,"",""
"368","Areas with Zika | Zika virus | CDC","Nokia Asha 203",14,"",""
"369","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 2 10.1 (GT-P5113)",13,"",""
"370","Areas with Zika | Zika virus | CDC","AT&T Phoenix 2 (K371)",13,"",""
"371","Areas with Zika | Zika virus | CDC","Blu Vivo XL",13,"",""
"372","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-S902L)",13,"",""
"373","Areas with Zika | Zika virus | CDC","HTC Desire 530 (2PST200)",13,"",""
"374","Areas with Zika | Zika virus | CDC","LG Escape 3 (K373)",13,"",""
"375","Areas with Zika | Zika virus | CDC","Samsung Galaxy J1 (2016) (SM-J120W)",13,"",""
"376","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Mini (GT-I9195I)",13,"",""
"377","Areas with Zika | Zika virus | CDC","Sony Xperia SP (C5303)",13,"",""
"378","Areas with Zika | Zika virus | CDC","Sony Xperia E5 (F3311)",13,"",""
"379","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G920R6)",13,"",""
"380","Areas with Zika | Zika virus | CDC","HTC Desire Eye",13,"",""
"381","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900R6)",13,"",""
"382","Areas with Zika | Zika virus | CDC","Lenovo Tab 2 (A10-70F)",13,"",""
"383","Areas with Zika | Zika virus | CDC","HTC Desire 510",13,"",""
"384","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 LTE (GT-I9305)",12,"",""
"385","Areas with Zika | Zika virus | CDC","LG Leon (MS345)",12,"",""
"386","Areas with Zika | Zika virus | CDC","Samsung Galaxy Light (SGH-T399N)",12,"",""
"387","Areas with Zika | Zika virus | CDC","LG X power (K210)",12,"",""
"388","Areas with Zika | Zika virus | CDC","Sprint Galaxy S5 Active (SM-G860P)",12,"",""
"389","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 LTE (SM-T815)",12,"",""
"390","Areas with Zika | Zika virus | CDC","Alcatel One Touch Fierce XL (5054N)",12,"",""
"391","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530H)",12,"",""
"392","Areas with Zika | Zika virus | CDC","Blu Life One X2",12,"",""
"393","Areas with Zika | Zika virus | CDC","LG G5 (H860)",12,"",""
"394","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 8.0 (GT-N5110)",12,"",""
"395","Areas with Zika | Zika virus | CDC","Huawei Honor 8 (FRD-L19)",12,"",""
"396","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 3 7.0 (SM-T210R)",12,"",""
"397","Areas with Zika | Zika virus | CDC","Verizon Galaxy Note 7 (SM-N930V)",11,"",""
"398","Areas with Zika | Zika virus | CDC","Motorola Moto X Play (XT1562)",11,"",""
"399","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 Neo LTE (SM-N7505)",11,"",""
"400","Areas with Zika | Zika virus | CDC","HTC One Mini 2",11,"",""
"401","Areas with Zika | Zika virus | CDC","Amazon Fire HDX 8.9",11,"",""
"402","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab A (SM-T585)",11,"",""
"403","Areas with Zika | Zika virus | CDC","Asus MeMO Pad 7 (ME176C (K013))",11,"",""
"404","Areas with Zika | Zika virus | CDC","Verizon G Vista (VS880)",11,"",""
"405","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 Mini Value Edition (GT-I8200N)",11,"",""
"406","Areas with Zika | Zika virus | CDC","Nokia Lumia 925 (RM-892)",11,"",""
"407","Areas with Zika | Zika virus | CDC","Sony Xperia Z4 Ultra (E5803)",11,"",""
"408","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab A (SM-T555)",11,"",""
"409","Areas with Zika | Zika virus | CDC","Acer Iconia Tab A3 (A3-A20FHD)",11,"",""
"410","Areas with Zika | Zika virus | CDC","Sony Xperia XZ (F8331)",11,"",""
"411","Areas with Zika | Zika virus | CDC","Sprint Galaxy Core Prime (SM-G360P)",11,"",""
"412","Areas with Zika | Zika virus | CDC","Samsung SM-S820L",11,"",""
"413","Areas with Zika | Zika virus | CDC","Sprint Galaxy Note 2 (SPH-L900)",11,"",""
"414","Areas with Zika | Zika virus | CDC","Nokia Lumia 930 (RM-1045)",11,"",""
"415","Areas with Zika | Zika virus | CDC","LG Volt (LS740)",11,"",""
"416","Areas with Zika | Zika virus | CDC","HTC Bolt (2PYB2)",11,"",""
"417","Areas with Zika | Zika virus | CDC","Motorola Moto X Sprint (XT1056)",11,"",""
"418","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T1)",11,"",""
"419","Areas with Zika | Zika virus | CDC","Nokia Lumia 1020 (RM-875)",11,"",""
"420","Areas with Zika | Zika virus | CDC","LG G Pad F 7.0 LTE (V495)",11,"",""
"421","Areas with Zika | Zika virus | CDC","Kyocera Hydro AIR (C6745)",11,"",""
"422","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 2 (GT-P5110)",11,"",""
"423","Areas with Zika | Zika virus | CDC","LG G Pad 8.3 (V500)",11,"",""
"424","Areas with Zika | Zika virus | CDC","LG K8 (K350)",11,"",""
"425","Areas with Zika | Zika virus | CDC","Vodafone Smart ultra 7 (VFD 700)",10,"",""
"426","Areas with Zika | Zika virus | CDC","AT&T Galaxy S5 Mini (SM-G800A)",10,"",""
"427","Areas with Zika | Zika virus | CDC","Lenovo A7600-F",10,"",""
"428","Areas with Zika | Zika virus | CDC","Sony Xperia X Performance (F8131)",10,"",""
"429","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 mini (GT-I8190)",10,"",""
"430","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 (GT-I9500)",10,"",""
"431","Areas with Zika | Zika virus | CDC","US Cellular Galaxy J3 (SM-J320R4)",10,"",""
"432","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 3 (SM-T210)",10,"",""
"433","Areas with Zika | Zika virus | CDC","Lenovo Vibe Shot (Z90a40)",10,"",""
"434","Areas with Zika | Zika virus | CDC","Microsoft Lumia 550",10,"",""
"435","Areas with Zika | Zika virus | CDC","Verizon One (6500LVW)",10,"",""
"436","Areas with Zika | Zika virus | CDC","LG G Pad 10.1 (VK700)",10,"",""
"437","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note LTE 10.1 (SM-P605)",10,"",""
"438","Areas with Zika | Zika virus | CDC","Motorola Moto G (XT1040)",10,"",""
"439","Areas with Zika | Zika virus | CDC","Nokia Lumia 520 (RM-914)",10,"",""
"440","Areas with Zika | Zika virus | CDC","Verizon Galaxy Note Pro 12.2 (SM-P905V)",10,"",""
"441","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy Note 4 (SM-N910T3)",10,"",""
"442","Areas with Zika | Zika virus | CDC","HTC Desire 520",10,"",""
"443","Areas with Zika | Zika virus | CDC","LG G2 (D802T)",10,"",""
"444","Areas with Zika | Zika virus | CDC","AT&T Galaxy S4 Active (SGH-I537)",10,"",""
"445","Areas with Zika | Zika virus | CDC","LG Ultimate 2 (L41C)",10,"",""
"446","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 Duos (SM-G900FD)",10,"",""
"447","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G9200)",10,"",""
"448","Areas with Zika | Zika virus | CDC","Oppo F1s (A1601)",10,"",""
"449","Areas with Zika | Zika virus | CDC","LG G Stylo (H636)",10,"",""
"450","Areas with Zika | Zika virus | CDC","Verizon DROID RAZR M (XT907)",10,"",""
"451","Areas with Zika | Zika virus | CDC","Amazon Fire Phone",10,"",""
"452","Areas with Zika | Zika virus | CDC","HTC One M8S (M8Sd)",10,"",""
"453","Areas with Zika | Zika virus | CDC","Huawei Honor 5C (NEM-L21)",10,"",""
"454","Areas with Zika | Zika virus | CDC","Samsung Galaxy J1 (SM-J100VPP)",10,"",""
"455","Areas with Zika | Zika virus | CDC","Motorola Moto G (XT1045)",10,"",""
"456","Areas with Zika | Zika virus | CDC","LG V10 (H960)",10,"",""
"457","Areas with Zika | Zika virus | CDC","Asus Transformer Pad (TF300T)",9,"",""
"458","Areas with Zika | Zika virus | CDC","Huawei GX8 (RIO-L01)",9,"",""
"459","Areas with Zika | Zika virus | CDC","AT&T Galaxy Note 2 (SGH-I317)",9,"",""
"460","Areas with Zika | Zika virus | CDC","Sprint Galaxy Tab 3 7.0 (SM-T217S)",9,"",""
"461","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 Mini (SM-G730V)",9,"",""
"462","Areas with Zika | Zika virus | CDC","HTC Desire 526G Plus",9,"",""
"463","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 Mini (SM-G730W8)",9,"",""
"464","Areas with Zika | Zika virus | CDC","T-Mobile Moto X (XT1053)",9,"",""
"465","Areas with Zika | Zika virus | CDC","Nokia Lumia 630 (RM-978)",9,"",""
"466","Areas with Zika | Zika virus | CDC","Verizon Brigadier (E6782)",9,"",""
"467","Areas with Zika | Zika virus | CDC","Motorola Moto G 2nd Gen (XT1063)",9,"",""
"468","Areas with Zika | Zika virus | CDC","LG G Vista 2 (H740)",9,"",""
"469","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910H)",9,"",""
"470","Areas with Zika | Zika virus | CDC","Huawei Ascend Mate 7 (MT7-L09)",9,"",""
"471","Areas with Zika | Zika virus | CDC","Lenovo Vibe K5 (A6020a40)",9,"",""
"472","Areas with Zika | Zika virus | CDC","Sprint Galaxy Note Edge (SM-N915P)",9,"",""
"473","Areas with Zika | Zika virus | CDC","LG G2 Mini (D620)",9,"",""
"474","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 LTE-A (SM-N900S)",9,"",""
"475","Areas with Zika | Zika virus | CDC","LG Sunset (L33L)",9,"",""
"476","Areas with Zika | Zika virus | CDC","Huawei Honor 5X (KIW-L24)",9,"",""
"477","Areas with Zika | Zika virus | CDC","Fairphone Fairphone 2 (FP2)",9,"",""
"478","Areas with Zika | Zika virus | CDC","LG K8V (VS500)",9,"",""
"479","Areas with Zika | Zika virus | CDC","Motorola Moto G 2nd Gen (XT1072)",9,"",""
"480","Areas with Zika | Zika virus | CDC","LG G Pad F 8.0 (UK495)",9,"",""
"481","Areas with Zika | Zika virus | CDC","Samsung Galaxy A3 (SM-A310Y)",9,"",""
"482","Areas with Zika | Zika virus | CDC","Samsung Galaxy Avant (SM-G386T1)",9,"",""
"483","Areas with Zika | Zika virus | CDC","Microsoft Lumia 640 XL Dual SIM (RM-1096)",9,"",""
"484","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 (2016) (SM-A510K)",9,"",""
"485","Areas with Zika | Zika virus | CDC","Motorola DROID Razr HD (XT926)",9,"",""
"486","Areas with Zika | Zika virus | CDC","Sony Xperia Z1s LTE-A (C6916)",9,"",""
"487","Areas with Zika | Zika virus | CDC","bq Aquaris M5",8,"",""
"488","Areas with Zika | Zika virus | CDC","Sony Xperia XA Ultra (F3213)",8,"",""
"489","Areas with Zika | Zika virus | CDC","Verizon Ellipsis 7 (QMV7B)",8,"",""
"490","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 (SM-T815Y)",8,"",""
"491","Areas with Zika | Zika virus | CDC","Oukitel K6000",8,"",""
"492","Areas with Zika | Zika virus | CDC","ZTE ZMax 2 (Z958)",8,"",""
"493","Areas with Zika | Zika virus | CDC","Samsung Galaxy Xcover 4 (SM-G389F)",8,"",""
"494","Areas with Zika | Zika virus | CDC","Sony Xperia Z (C6603)",8,"",""
"495","Areas with Zika | Zika virus | CDC","Microsoft Lumia 950 (RM-1118)",8,"",""
"496","Areas with Zika | Zika virus | CDC","Sony Xperia M5 (E5603)",8,"",""
"497","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S (SM-T807T)",8,"",""
"498","Areas with Zika | Zika virus | CDC","Sonim XP7700",8,"",""
"499","Areas with Zika | Zika virus | CDC","ZTE ZMax (Z970)",8,"",""
"500","Areas with Zika | Zika virus | CDC","Cricket Galaxy Amp prime (SM-J320AZ)",8,"",""
"501","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 (SM-A500H)",8,"",""
"502","Areas with Zika | Zika virus | CDC","ZTE Axon (A1R)",8,"",""
"503","Areas with Zika | Zika virus | CDC","LG G3 (D852G)",8,"",""
"504","Areas with Zika | Zika virus | CDC","Huawei Y560-L01",8,"",""
"505","Areas with Zika | Zika virus | CDC","Wileyfox Swift",8,"",""
"506","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920S)",8,"",""
"507","Areas with Zika | Zika virus | CDC","Straight Talk Premier (L62VL)",8,"",""
"508","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy S3 (SGH-T999L)",8,"",""
"509","Areas with Zika | Zika virus | CDC","Ulefone Power",8,"",""
"510","Areas with Zika | Zika virus | CDC","ZTE Grand X Max 2 (Z988)",8,"",""
"511","Areas with Zika | Zika virus | CDC","Samsung Galaxy Ace 3 (GT-S7275R)",8,"",""
"512","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 LTE (SM-T535)",8,"",""
"513","Areas with Zika | Zika virus | CDC","LG G2 (D801)",8,"",""
"514","Areas with Zika | Zika virus | CDC","Sony Xperia Z5 (E6683)",8,"",""
"515","Areas with Zika | Zika virus | CDC","Verizon Moto G (XT1028)",8,"",""
"516","Areas with Zika | Zika virus | CDC","Asus Zenfone Max (ZC550KL (Z010D))",8,"",""
"517","Areas with Zika | Zika virus | CDC","HTC One X",8,"",""
"518","Areas with Zika | Zika virus | CDC","Samsung Galaxy Xcover 3 (SM-G388F)",8,"",""
"519","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Mini (SCH-R890)",8,"",""
"520","Areas with Zika | Zika virus | CDC","Blu Life XL",8,"",""
"521","Areas with Zika | Zika virus | CDC","Acer Liquid Zest Plus (T08)",8,"",""
"522","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 2 7.0 (GT-P3113)",8,"",""
"523","Areas with Zika | Zika virus | CDC","Huawei Honor 5X (KIW-L21)",8,"",""
"524","Areas with Zika | Zika virus | CDC","Sony Xperia Z2 Tablet (SGP521)",8,"",""
"525","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 Mini (SM-G800Y)",8,"",""
"526","Areas with Zika | Zika virus | CDC","LG G Pad F (V496)",7,"",""
"527","Areas with Zika | Zika virus | CDC","Huawei Y538",7,"",""
"528","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915T)",7,"",""
"529","Areas with Zika | Zika virus | CDC","Straight Talk Treasure 4G LTE (L52VL)",7,"",""
"530","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 Duos (SM-A5000)",7,"",""
"531","Areas with Zika | Zika virus | CDC","LG G Flex 2 (LS996)",7,"",""
"532","Areas with Zika | Zika virus | CDC","Sony Xperia Z3 (D6653)",7,"",""
"533","Areas with Zika | Zika virus | CDC","Samsung Galaxy Win (GT-I8552)",7,"",""
"534","Areas with Zika | Zika virus | CDC","Barnes and Noble Nook HD (BNTV400)",7,"",""
"535","Areas with Zika | Zika virus | CDC","LG G3 (US990)",7,"",""
"536","Areas with Zika | Zika virus | CDC","BlackBerry DTEK50 (STH100-1)",7,"",""
"537","Areas with Zika | Zika virus | CDC","Samsung Galaxy J7 Duo (SM-J700F)",7,"",""
"538","Areas with Zika | Zika virus | CDC","AT&T V20 (H910)",7,"",""
"539","Areas with Zika | Zika virus | CDC","RCA Tablets 11 Maven Pro (RCT6213W87DK)",7,"",""
"540","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 7 (GT-P3110)",7,"",""
"541","Areas with Zika | Zika virus | CDC","Sony Xperia Tablet Z (SGP311)",7,"",""
"542","Areas with Zika | Zika virus | CDC","Acer Iconia One 10 (B3-A30)",7,"",""
"543","Areas with Zika | Zika virus | CDC","Vodafone Smart Prime 7 (VFD 600)",7,"",""
"544","Areas with Zika | Zika virus | CDC","Verizon Galaxy Tab E 9.6 (SM-T567V)",7,"",""
"545","Areas with Zika | Zika virus | CDC","Huawei GR3 (TAG-L21)",7,"",""
"546","Areas with Zika | Zika virus | CDC","Samsung Galaxy K Zoom (SM-C115)",7,"",""
"547","Areas with Zika | Zika virus | CDC","US Cellular Galaxy S6 Edge (SM-G925R4)",7,"",""
"548","Areas with Zika | Zika virus | CDC","Dell Venue 8",7,"",""
"549","Areas with Zika | Zika virus | CDC","Asus MeMO Pad 7 (ME572C (K007))",7,"",""
"550","Areas with Zika | Zika virus | CDC","Sony PS 4 (PlayStation 4)",7,"",""
"551","Areas with Zika | Zika virus | CDC","Proscan PLT7650G",7,"",""
"552","Areas with Zika | Zika virus | CDC","Verizon QTAIR7 (Ellipsis 10)",7,"",""
"553","Areas with Zika | Zika virus | CDC","Samsung Galaxy J7 (SM-J700H)",7,"",""
"554","Areas with Zika | Zika virus | CDC","LG G5 (RS988)",7,"",""
